Trip_ID,TransactionMonth,Destination,Start_date,End_date,Number_of_travelers,Client_ID,Client_age_range,Client_gender,Referral_source,Client_credit_card,Client_nationality,Client_age,Client_rank,Time_of_first_call,Accommodation_type,Transportation_cost,Accommodation_cost,Tours_cost,Insurance_cost,Agency_fee,Agency_hours,On_call_hours,Associates_involved,Internal_service_failures
1,2021-02,"Cairo, Egypt",2021-05-12,2021-05-18,1.0,1149.0,26-35,M,Online Ad,,Japan,28.0,V.I.P.,Afternoon,Standard,786.03,936.0,,54.9,1585.57,11.71,,1.0,0.0
2,2021-07,"Lima, Peru",2021-10-30,2021-11-07,2.0,,51+,M,Other,Amex,Ethiopia,53.0,na,Evening,Standard,1626.19,2496.0,136.83,100.0,1088.19,14.8,7.19,1.0,
3,2024-07,"Reykjavik, Iceland",2024-10-07,2024-10-21,5.0,4414.0,51+,F,Search Engine,Visa,UK,51.0,Frequent Traveler,Morning,Standard,3500.13,13440.0,146.41,100.0,717.59,16.45,9.72,1.0,0.0
4,2023-06,"Marrakech, Morocco",2023-08-06,2023-08-13,7.0,475.0,51+,F,Friend/Family,Amex,Greece,69.0,na,Morning,Luxury,5564.36,19845.0,148.01,100.0,927.45,28.32,,0.0,0.0
5,2021-08,"Johannesburg, South Africa",2022-01-15,2022-01-22,3.0,4326.0,,M,Friend/Family,Discover,Mexico,18.0,na,Evening,Luxury,2008.54,8316.0,158.46,100.0,1438.77,14.32,5.18,,0.0
6,2025-12,"Tokyo, Japan",2026-04-02,2026-04-09,4.0,,18-25,F,Search Engine,Visa,Nigeria,23.0,Frequent Traveler,Evening,Standard,2713.35,5712.0,120.14,100.0,818.52,11.45,4.75,0.0,0.0
7,2021-08,"Barcelona, Spain",11/02/2021,2021-11-08,3.0,1204.0,,M,Social Media,,Brazil,,na,Evening,Standard,1778.15,3888.0,87.69,100.0,801.47,10.16,5.7,1.0,
8,2023-04,"Bangkok, Thailand",2023-07-30,2023-08-08,2.0,,26-35,F,,MasterCard,Canada,34.0,VIP,Afternoon,Standard,1307.46,3780.0,129.73,100.0,1076.22,8.53,3.71,,
9,2022-04,"Reykjavik, Iceland",2022-06-12,2022-06-21,4.0,653.0,51+,M,Search Engine,Discover,USA,52.0,na,Evening,Budget,2549.84,2880.0,75.05,100.0,872.32,13.7,8.17,,0.0
10,2023-10,"Cape Town, South Africa",12/10/2023,2023-12-13,6.0,144.0,18-25,M,Search Engine,Visa,Mexico,20.0,Frequent Traveler,Evening,Luxury,4499.31,7560.0,162.86,100.0,1154.25,21.22,10.31,0.0,0.0
11,2021-05,"Buenos Aires, Argentina",2021-06-02,2021-06-12,1.0,3913.0,51+,F,Friend/Family,Amex,India,,frequent,Evening,Luxury,663.11,3780.0,136.27,100.0,1110.4,12.97,,1.0,
12,2024-12,"Bangkok, Thailand",2025-05-21,2025-05-26,2.0,1382.0,51+,M,Online Ad,Visa,Ghana,55.0,na,Morning,Standard,1206.79,2100.0,114.05,100.0,620.78,10.25,,1.0,0.0
13,2021-03,"Bali, Indonesia",2021-07-03,2021-07-15,,704.0,51+,M,Social Media,,UK,62.0,na,Evening,Luxury,4544.99,32400.0,145.94,100.0,992.59,20.94,12.27,1.0,
14,2022-10,"Bali, Indonesia",2023-02-13,2023-02-26,4.0,237.0,36-50,F,Online Ad,Visa,Colombia,36.0,frequent,Morning,Budget,2986.66,3900.0,98.87,100.0,977.41,14.78,7.7,0.0,0.0
15,2021-02,"Marrakech, Morocco",2021-04-01,2021-04-08,4.0,1867.0,26-35,F,Social Media,Amex,Vietnam,30.0,na,Afternoon,,2416.97,11340.0,141.24,100.0,1506.39,15.44,,1.0,0.0
16,2024-04,"Bangkok, Thailand",2024-07-20,2024-08-02,4.0,1642.0,26-35,F,Online Ad,MasterCard,France,35.0,Frequent Traveler,Morning,Budget,2688.38,4550.0,,100.0,784.52,11.56,6.45,0.0,0.0
17,2023-07,"Bangkok, Thailand",2023-09-12,2023-09-25,2.0,3136.0,26-35,M,Online Ad,MasterCard,Thailand,35.0,vip,Morning,Budget,1220.02,2275.0,103.02,100.0,768.2,10.01,3.01,0.0,0.0
18,2025-02,"Reykjavik, Iceland",2025-06-19,2025-06-25,1.0,2689.0,51+,M,Other,Discover,USA,52.0,Frequent Traveler,Afternoon,Budget,711.98,480.0,67.92,60.97,679.72,12.28,4.65,0.0,
19,2025-02,"Lima, Peru",2025-07-14,2025-07-24,2.0,309.0,36-50,F,Online Ad,Visa,Brazil,37.0,Frequent Traveler,Afternoon,Standard,1544.42,3120.0,112.93,100.0,893.55,15.79,7.05,0.0,1.0
20,2021-01,"Paris, France",2021-05-01,2021-05-08,8.0,4916.0,18-25,F,Friend/Family,Visa,Argentina,22.0,na,,Luxury,4016.87,31920.0,155.67,100.0,1117.38,23.87,,0.0,0.0
21,2024-06,"Cairo, Egypt",2024-10-18,2024-10-23,1.0,,51+,F,Friend/Family,Amex,USA,61.0,VIP,Evening,Standard,676.49,780.0,154.25,88.25,885.23,12.9,7.02,,
22,2021-09,"New Delhi, India",2022-01-30,2022-02-12,1.0,4156.0,51+,F,Online Ad,MasterCard,Panama,56.0,na,Evening,,721.69,2184.0,124.97,100.0,989.12,10.49,5.59,0.0,
23,2025-07,"Bangkok, Thailand",2025-08-30,2025-09-11,2.0,1101.0,51+,F,Online Ad,Discover,Mexico,55.0,Frequent Traveler,Afternoon,Standard,1292.62,5040.0,108.9,100.0,589.83,11.31,5.34,1.0,0.0
24,2025-07,"Reykjavik, Iceland",2025-10-01,2025-10-05,2.0,2427.0,26-35,F,Friend/Family,Discover,Spain,32.0,frequent,Evening,Standard,941.61,,91.68,63.18,933.73,9.84,5.01,1.0,0.0
25,2025-03,"Tokyo, Japan",2025-04-04,2025-04-08,2.0,683.0,26-35,F,Social Media,MasterCard,France,30.0,na,Afternoon,Standard,1265.0,1632.0,98.91,100.0,898.73,10.1,,1.0,0.0
26,2023-10,"New Delhi, India",2024-01-11,2024-01-15,5.0,4808.0,36-50,M,Friend/Family,,Kenya,,na,Afternoon,Standard,,3360.0,127.44,100.0,947.62,17.38,10.59,,
27,2024-01,"Paris, France",2024-02-13,2024-02-18,2.0,52.0,51+,F,Friend/Family,MasterCard,Japan,67.0,na,Afternoon,Budget,1015.25,950.0,83.94,100.0,629.69,8.82,6.05,0.0,
28,2022-04,"Barcelona, Spain",06/14/2022,2022-06-25,8.0,,51+,M,Search Engine,MasterCard,India,62.0,frequent,Evening,Standard,3454.66,19008.0,126.71,100.0,795.47,25.09,,,0.0
29,2025-05,"New Delhi, India",2025-10-23,2025-10-30,4.0,1247.0,18-25,F,Other,MasterCard,Argentina,22.0,Frequent Traveler,Morning,Standard,3126.14,4704.0,115.64,,1030.84,16.05,7.69,0.0,
30,2023-05,"Rome, Italy",2023-08-10,2023-08-15,6.0,3174.0,18-25,F,Online Ad,Visa,Japan,23.0,na,Evening,Standard,3408.7,6660.0,137.87,100.0,991.42,16.5,6.63,1.0,0.0
31,2023-11,"Barcelona, Spain",2024-03-28,2024-04-06,7.0,3717.0,51+,M,,Visa,Canada,56.0,vip,Evening,Budget,3860.25,5670.0,85.84,100.0,694.59,22.66,11.79,0.0,
32,2023-08,"Cape Town, South Africa",2023-11-13,2023-11-24,8.0,4816.0,51+,M,Friend/Family,Visa,UK,52.0,na,Afternoon,Standard,5149.69,14784.0,,100.0,882.03,26.32,16.09,0.0,0.0
33,2022-10,"Bangkok, Thailand",2023-03-21,2023-04-01,5.0,1698.0,26-35,F,Online Ad,Amex,France,33.0,frequent,Evening,Budget,3399.86,4812.5,104.79,100.0,1064.8,12.98,,0.0,
