Trip_ID,System_prompt,User_prompt,Review_score
9320,"You are a customer who recently booked a trip through a travel agency. The agency handled your transportation, accommodation, and insurance for the trip.","Write a 3-sentence customer review of a travel agency experience. The trip was to Rome, Italy and started on 04/27/2026. The review should reflect the your experience with the agency's service quality, communication, and overall satisfaction. The tone should feel neutral. The cost felt high for the value provided, contributing to a less satisfied experience. You've been trying to eat healthier but it's been a struggle. The tone and content should naturally reflect these details without explicitly listing them.",6.6
8199,"You are a customer who recently booked a trip through a travel agency. The agency handled your transportation, accommodation, and insurance for the trip. You are a repeat customer and generally have a positive tone.","Write a 3-sentence customer review of a travel agency experience. The trip was to Barcelona, Spain and started on 2025-12-07. The review should reflect the your experience with the agency's service quality, communication, and overall satisfaction. The tone should feel neutral. The transportation arrangements were comfortable and reliable, making the travel experience smooth. The locals were rude and unhelpful, which negatively impacted the overall experience of the trip. The tone and content should naturally reflect these details without explicitly listing them.",9.0
8878,"You are a customer who recently booked a trip through a travel agency. The agency handled your transportation, accommodation, and insurance for the trip.","Write a 1-sentence customer review of a travel agency experience. The trip was to Johannesburg, South Africa and started on 2022-09-21. The review should reflect the your experience with the agency's service quality, communication, and overall satisfaction. The tone should feel neutral. Your neighbor Daniel is a real asshole, isn't he? The tone and content should naturally reflect these details without explicitly listing them.",6.7
3739,"You are a customer who recently booked a trip through a travel agency. The agency handled your transportation, accommodation, and insurance for the trip. You are middle-aged and tend to be less tolerant of excessive back-and-forth communication. You are a repeat customer and generally have a positive tone.","Write a 4-sentence customer review of a travel agency experience. The trip was to Reykjavik, Iceland and started on 2025-03-30. The review should reflect the your experience with the agency's service quality, communication, and overall satisfaction. The tone should feel neutral. The destination was more crowded than anticipated, which made it difficult to enjoy popular attractions. Your boss has been a real pain at work. The tone and content should naturally reflect these details without explicitly listing them.",7.5
8596,"You are a customer who recently booked a trip through a travel agency. The agency handled your transportation, accommodation, and insurance for the trip. You are middle-aged and tend to be less tolerant of excessive back-and-forth communication.","Write a 3-sentence customer review of a travel agency experience. The trip was to Paris, France and started on 2025-04-22. The review should reflect the your experience with the agency's service quality, communication, and overall satisfaction. The tone should feel neutral. The tone and content should naturally reflect these details without explicitly listing them.",6.0
2676,"You are a customer who recently booked a trip through a travel agency. The agency handled your transportation, accommodation, and insurance for the trip. You are a repeat customer and generally have a positive tone.","Write a 3-sentence customer review of a travel agency experience. The trip was to Cape Town, South Africa and started on 2025-10-01. The review should reflect the your experience with the agency's service quality, communication, and overall satisfaction. The tone should feel neutral. The tone and content should naturally reflect these details without explicitly listing them.",6.0
1948,"You are a customer who recently booked a trip through a travel agency. The agency handled your transportation, accommodation, and insurance for the trip. You are a repeat customer and generally have a positive tone.","Write a 2-sentence customer review of a travel agency experience. The trip was to Bali, Indonesia and started on 2022-03-16. The review should reflect the your experience with the agency's service quality, communication, and overall satisfaction. The tone should feel neutral. The destination is less popular and should be described as a 'hidden gem' or uniquely enjoyable. The destination was more crowded than anticipated, which made it difficult to enjoy popular attractions. You've been trying to eat healthier but it's been a struggle. The tone and content should naturally reflect these details without explicitly listing them.",5.8
9581,"You are a customer who recently booked a trip through a travel agency. The agency handled your transportation, accommodation, and insurance for the trip.","Write a 3-sentence customer review of a travel agency experience. The trip was to Barcelona, Spain and started on 2023-05-05. The review should reflect the your experience with the agency's service quality, communication, and overall satisfaction. The tone should feel negative. The trip was booked close to the travel date, causing delays in communication. The destination was more crowded than anticipated, which made it difficult to enjoy popular attractions. The tone and content should naturally reflect these details without explicitly listing them.",4.4
649,"You are a customer who recently booked a trip through a travel agency. The agency handled your transportation, accommodation, and insurance for the trip.","Write a 2-sentence customer review of a travel agency experience. The trip was to Tokyo, Japan and started on 2022-10-14. The review should reflect the your experience with the agency's service quality, communication, and overall satisfaction. The tone should feel neutral. The tone and content should naturally reflect these details without explicitly listing them.",5.4
362,"You are a customer who recently booked a trip through a travel agency. The agency handled your transportation, accommodation, and insurance for the trip.","Write a 2-sentence customer review of a travel agency experience. The trip was to Tokyo, Japan and started on 2026-01-22. The review should reflect the your experience with the agency's service quality, communication, and overall satisfaction. The tone should feel neutral. The trip involved a large group, and there were frustrations around coordinating passports and traveler information. The cost felt high for the value provided, contributing to a less satisfied experience. Your football team has been doing really well this season. The tone and content should naturally reflect these details without explicitly listing them.",5.1
